,Time,Sha,User,Message
0,1460660457.0,9a52d357b68c49bee2f09c2b132a6820d531fa12,Person 2,edit final presentation
1,1460657415.0,1b759b49c5a47ddcf00a27eb9b97192220da228c,Person 2,final presentation slide
2,1460082568.0,fdb805af4a980d5a5ecbc4784687021b566cfaad,Person 1,"Update README.md

Included the link for the Report"
3,1460082445.0,30ac6f2c9b6fce8b67c1fceeac235ff77036f536,Person 1,"Final report 

As a part of April 1 Deliverable"
4,1460058929.0,9231ee0835d8cbf6aeda373c9b9d270ff16a79df,Person 2,adding link to presentation
5,1460058766.0,ab0869e404f07814dbafff06b8b08cfb15291c33,Person 2,adding presentation placeholder
6,1460058511.0,d4ac9b0a561ee34050a79eb9fc27ff729041d110,Person 2,formatting readme
7,1460058414.0,1cbc4e71b1267fe3c9059f8bee75af2a814672ae,Person 2,formatting readme
8,1460058112.0,886874b9d8ce4bf514fdeb8f26ebd70ea33f3638,Person 2,readme format changed
9,1456883371.0,5618ccd642d69906c9b60f81ad33d707897509cb,Person 4,Update Readme.md
10,1456882538.0,0f2ca1aa147409479b43168dbf0b71f0d9e7b819,Person 2,removed hidden file readme
11,1456882410.0,9abb5f7cd2e4528a58b228841bf6cd23dd42ec48,Person 2,modified README
12,1456877850.0,cfe41bd1651aa7c4f989cbb87ce910470e4bd710,Person 4,"Update README.md

march1 draft"
13,1456834465.0,bbf07202c854e06e45813fffebe7cfd2e048d18b,Person 1,"Merge pull request #79 from jordy-jose/Solution3

Solution3"
14,1456807007.0,894e56035e435883684ab1fdb32bfefc37a1a8f5,Person 4,Resolve Conflict
15,1456805463.0,6f9bed27b233945c59a3290095c44489bea63074,Person 4,update ds se tabs
16,1456723617.0,6999e165c026faf3ad19130b6f0e71e142f643a5,Person 2,resolve merge conflicts
17,1456723103.0,685e6875913cfdd9e8e9742f2fc40de04842822a,Person 2,Merge branch 'Solution1'
18,1456721898.0,88c1a9384c31c440892a9b8943dde13463cb4fa6,Person 4,Add logic for advanced substitutes
19,1456718215.0,fd0bc2c17365392a7c5df8b5be6d89ba149f7d7f,Person 2,creating log file
20,1456717472.0,ae080f63d78ac372436df14643961f9034f60abf,Person 4,add GPA
21,1456717030.0,116fbd059964546ecc5a801dd88ec3e020502461,Person 4,Add JS to show requirements
22,1456713518.0,6e0199cf64b294fcffb2c20cfd7dabf5fcd7b6c7,Person 2,logging user interactions
23,1456699125.0,022fc8bdab79d5545efcf70292bdcc42a9e7efcf,Person 2,implemented status activity
24,1456692118.0,c63d1760aa194206772a9c044eb793598f2e429e,Person 2,courses activity added
25,1456688508.0,94bc0a35cec6faf9f599742f4b8bf39cb68369b7,Person 3,Delete LoginHelper.java
26,1456688502.0,75d711e1ea417228f98d9220e0ac123319af466b,Person 3,Delete Login.java
27,1456688496.0,c499bc1845d90e85a10a3bffe6eb2977088b83af,Person 3,Delete MsHelper.java
28,1456688488.0,850489333e02d6f873c661c1da5a1ec5d21b414c,Person 3,Delete ImsHelp.java
29,1456688483.0,1b6b5c1b6f45328357364248618e8a6e863bafb3,Person 3,Delete IStatementExecutor.java
30,1456688477.0,987cca46406e2007f966c199c5f50f5705903a6f,Person 3,Delete IQueryResultSet.java
31,1456688472.0,6f0a758baf7be8630464f3f1f6d1427b069ca8ec,Person 3,Delete IHashService.java
32,1456688467.0,f3fd68a9e732fa2b4e3ccb9889c98526e1b26de6,Person 3,Delete IDatabaseConnection.java
33,1456688459.0,88cbdaf31ae88d2a82ed528565764046747eaba4,Person 3,Delete StatementExecutor.java
34,1456688453.0,ebc72456cf489d05e629bcc737353464b376961f,Person 3,Delete QueryResultSet.java
35,1456688447.0,3ed21b45f59c44963a32fb44d6cac9e6cdd5a33b,Person 3,Delete HashService.java
36,1456688441.0,e53143230491ccab3a32a90b9673a0064bc97428,Person 3,Delete DatabaseConnectionService.java
37,1456688434.0,c6e0a51146380cd06179082b74b130e926fec613,Person 3,Delete DatabaseConnection.java
38,1456688422.0,d5cb453f6b5c0b0b504633c16d7ca50ccb6d169a,Person 3,Delete LoginHelper.class
39,1456688415.0,e4ebf1d7a6ca9a9015c5b62fcd88808b24f7f711,Person 3,Delete Login.class
40,1456688409.0,48a6dace45e2f7ed480295e6fa6761142dc9d491,Person 3,Delete MsHelper.class
41,1456688395.0,9ed69ea8ff1de8b04bb94241fdf82dafe6596919,Person 3,Delete ImsHelp.class
42,1456688390.0,cda3b5b4643b8dd0b02fd10b31b94c60f139723e,Person 3,Delete IStatementExecutor.class
43,1456688385.0,0a1b3e07e75fb180af393ce8238195a01aa871de,Person 3,Delete IQueryResultSet.class
44,1456688380.0,a42a8af93c40d71d2df1b97f4fa55467fa476b14,Person 3,Delete IHashService.class
45,1456688373.0,618f2cbf8e357081980ecc8c2cb0b0f75e6d69d1,Person 3,Delete IDatabaseConnection.class
46,1456688364.0,d303c33932ce157916d466bfc6b30f0ec86464a1,Person 3,Delete StatementExecutor.class
47,1456688359.0,bfe314357d43a2cb48fca95d9cfb844c29cfb8f0,Person 3,Delete QueryResultSet.class
48,1456688353.0,86040073cb760d47c815d3683f4b6c62fdb807e9,Person 3,Delete HashService.class
49,1456688348.0,ad42ea985dbef2ce778afac01b9d1e00e9a55c7b,Person 3,Delete DatabaseConnectionService.class
50,1456688343.0,8b2700b903615d4e3bed84978a7bf0b77a4a12c7,Person 3,Delete DatabaseConnection.class
51,1456688333.0,a2a9c5764d8ba7e0ea264e3f87419c036371e495,Person 3,Delete jbcrypt.jar
52,1456688324.0,ce721894d89c7f5b864656f0a740c48df137b94f,Person 3,Delete mysql-connector-java-5.1.38-bin.jar
53,1456688054.0,9e7309afdfe4b8bcc3facd655ff30602a98e8e07,Person 3,Delete LoginHelper.class
54,1456688049.0,1a399bfb841dc49a5f3c198bfe798576ef288713,Person 3,Delete Login.class
55,1456688043.0,51fce1e93d3addd2f7e3243b309d34eff8a62a33,Person 3,Delete MsHelper.class
56,1456688030.0,9ffebced879e2d8fd4acf6a2a2b0d2481baa0718,Person 3,Delete ImsHelp.class
57,1456688025.0,902a55325fdffea2eb2f0880e2a8d41514b85112,Person 3,Delete IStatementExecutor.class
58,1456688018.0,49f485cef70eed6d768ce46ab2e5952df6716363,Person 3,Delete IQueryResultSet.class
59,1456688013.0,8cdaa2ca36d2c994af25d0d93711b11fec6f7388,Person 3,Delete IHashService.class
60,1456688008.0,068abbe4ccff81f7daf61b955aae96027644659b,Person 3,Delete IDatabaseConnection.class
61,1456687999.0,ce863c7b623a1c28a322873f1a66d4ac0ce9d99a,Person 3,Delete StatementExecutor.class
62,1456687995.0,834987338d675d4e4cdcbad2397fccc9faf0ffa0,Person 3,Delete QueryResultSet.class
63,1456687990.0,b45a8f81dcf5dfe9ce4545db67aa8d7159c44c9c,Person 3,Delete HashService.class
64,1456687986.0,f845d9bef2db362467d8cdb7bcd84da1359feb5c,Person 3,Delete DatabaseConnectionService.class
65,1456687980.0,9df2ebfceb5b25d96aee17fbc741eb75e549ea38,Person 3,Delete DatabaseConnection.class
66,1456687969.0,c40ebb8a3af5904602d4d64625beb40567e5cda4,Person 3,Delete StatementExecutor.java
67,1456687962.0,16e0a20d6253d0be2854b171cc01560e6bacbceb,Person 3,Delete QueryResultSet.java
68,1456687956.0,6455cc46b344ce852f878e8075bb9fc673be3a4b,Person 3,Delete HashService.java
69,1456687950.0,58705b5313acbf3aca9d1725a44c8a00409ce221,Person 3,Delete DatabaseConnectionService.java
70,1456687944.0,1240192384235dc62df8f1989540be712bbaf257,Person 3,Delete DatabaseConnection.java
71,1456687928.0,bb3ab3c184c8c76ef6cc3c231f07a318dde6b586,Person 3,Delete ImsHelp.java
72,1456687923.0,33927d012af900f0368b83844d09e2fa80f12861,Person 3,Delete IStatementExecutor.java
73,1456687917.0,fd45952592a786efc849e25ae03d6a267382bcc2,Person 3,Delete IQueryResultSet.java
74,1456687911.0,1872babcbe9920a8e452f00ce199efacc000a2b4,Person 3,Delete IHashService.java
75,1456687905.0,ffd381dd264022740c87b47a07a353c17a65fa58,Person 3,Delete IDatabaseConnection.java
76,1456687898.0,b604864523cb5014c1fdd7b4a54cba9ee574a66c,Person 3,Delete MsHelper.java
77,1456687886.0,cfd6cbf20f24df5752a23f4fcd1f17966c9c8a1a,Person 3,Delete LoginHelper.java
78,1456687876.0,6e448f84655c8f6c0898f4f37784f1307af8a160,Person 3,Delete Login.java
79,1456687857.0,30e41e3c9532525fa75da5426770dc85d6b1d261,Person 3,Delete jbcrypt.jar
80,1456687850.0,900ae2ab0e5e12c746f91de4b4ba831f13adb394,Person 3,Delete mysql-connector-java-5.1.38-bin.jar
81,1456687594.0,91e97763344588e0f1bb379e594696876ede597e,Person 3,Code changes to include DB functions and form data
82,1456686394.0,ecb0ca5394dd75704a8c2cc514e4eb567d9bdb49,Person 2,miscellaneous requirements checking feature implemented
83,1456683351.0,0af3a77af3dedb5f227a9850086adc2dd7728efe,Person 2,"miscellaneous activity- implemented add, removed and edit. Check is pending"
84,1456663466.0,55bdebfdf95834a7e73bbc57317c4051a3def2dd,Person 2,view seminar activity added
85,1456657096.0,d2bfa795f3f0ff34fe45d969cd324ab2b7dd30b4,Person 2,added activity seminar
