,action,closed_at,created_at,group_id,issue_id,label_name,milestone_closed_at,milestone_closed_issues,milestone_created_at,milestone_creator,milestone_due_on,milestone_id,milestone_open_issues,milestone_state,milestone_title,state,title,user
0,labeled,-1.0,1460697369.0,Repo 1,35,data-collection,-1,0,-1,Person 1,1460952000.0,10,3,open,Project 2 - Data Collection,open,which groups to focus on?,Person 1
1,labeled,-1.0,1460697286.0,Repo 1,34,data-collection,-1,0,-1,Person 1,1460952000.0,10,3,open,Project 2 - Data Collection,open,what all data do we need?,Person 1
2,labeled,-1.0,1460697217.0,Repo 1,33,data-collection,-1,0,-1,Person 1,1460952000.0,10,3,open,Project 2 - Data Collection,open,Deciding features!,Person 1
3,labeled,1457066475.0,1457040340.0,Repo 1,32,Text mining,1460088127.0,3,1456708079.0,Person 1,1456808400.0,8,0,closed,Solution #2,closed,Solution 2 merge,Person 1
4,labeled,1456880238.0,1456868055.0,Repo 1,31,front-end,1460088127.0,3,1456708079.0,Person 1,1456808400.0,8,0,closed,Solution #2,closed,Need to add answers to front end,Person 3
5,labeled,1456867983.0,1456855932.0,Repo 1,30,front-end,1460088125.0,4,1456707991.0,Person 1,1456808400.0,7,0,closed,Solution #1,closed,Front End,Person 1
6,labeled,1456855894.0,1456855631.0,Repo 1,29,help wanted,1460088125.0,4,1456707991.0,Person 1,1456808400.0,7,0,closed,Solution #1,closed,Questions - Collection Structure,Person 1
7,labeled,1459406788.0,1456761676.0,Repo 1,28,help wanted,1460088127.0,3,1456708079.0,Person 1,1456808400.0,8,0,closed,Solution #2,closed,Data Clustering,Person 2
8,labeled,1456855710.0,1456761377.0,Repo 1,27,Text mining,1460088125.0,4,1456707991.0,Person 1,1456808400.0,7,0,closed,Solution #1,closed,DB data processsing is slow . Need to be optimized,Person 4
9,labeled,1456855704.0,1456761280.0,Repo 1,26,Text mining,1460088125.0,4,1456707991.0,Person 1,1456808400.0,7,0,closed,Solution #1,closed,Need to improve stop words for better results,Person 4
10,labeled,1456855681.0,1456719089.0,Repo 1,25,front-end,None,None,None,None,None,None,None,None,None,closed,Front End,Person 3
11,labeled,1456471416.0,1456464223.0,Repo 1,21,front-end,1456708050.0,1,1456464113.0,Person 1,-1,6,0,closed,Front End,closed,Front End,Person 1
12,labeled,1456193166.0,1456192572.0,Repo 1,17,plugin-development,1456708062.0,3,1454893762.0,Person 1,1456722000.0,4,0,closed,Creating the Plugin that uses the Recommendation System,closed,sample plugin,Person 2
13,labeled,1456464081.0,1456192489.0,Repo 1,16,plugin-development,1456708062.0,3,1454893762.0,Person 1,1456722000.0,4,0,closed,Creating the Plugin that uses the Recommendation System,closed,data storage in plugin,Person 2
14,labeled,1456193330.0,1456088645.0,Repo 1,15,data-collection,1456708047.0,8,1454893181.0,Person 1,-1,2,0,closed,Data Collection,closed,Db Structure,Person 1
15,labeled,1456193343.0,1456086281.0,Repo 1,14,data-collection,1456708047.0,8,1454893181.0,Person 1,-1,2,0,closed,Data Collection,closed,Sample DB,Person 1
16,labeled,1456464028.0,1456086179.0,Repo 1,13,data-collection,1456708047.0,8,1454893181.0,Person 1,-1,2,0,closed,Data Collection,closed,DB Ready!,Person 1
17,labeled,1456707957.0,1455991125.0,Repo 1,12,Text mining,None,None,None,None,None,None,None,None,None,closed,Multiprocessing,Person 1
18,labeled,1456191543.0,1455951751.0,Repo 1,11,data-collection,1456708047.0,8,1454893181.0,Person 1,-1,2,0,closed,Data Collection,closed,Db Tag Selection,Person 1
19,labeled,1456191528.0,1455948467.0,Repo 1,10,data-collection,1456708047.0,8,1454893181.0,Person 1,-1,2,0,closed,Data Collection,closed,Data Too Large,Person 1
20,labeled,1456191522.0,1455653305.0,Repo 1,8,data-collection,1456708047.0,8,1454893181.0,Person 1,-1,2,0,closed,Data Collection,closed,Converting XML Data into an SQL DB,Person 1
21,labeled,1455653919.0,1454895359.0,Repo 1,7,enhancement,None,None,None,None,None,None,None,None,None,closed,Write README,Person 2
22,labeled,1456191499.0,1454894143.0,Repo 1,6,plugin-development,1456708062.0,3,1454893762.0,Person 1,1456722000.0,4,0,closed,Creating the Plugin that uses the Recommendation System,closed,Plugin Development,Person 1
23,labeled,1456707967.0,1454894009.0,Repo 1,5,Text mining,1456708061.0,3,1454893683.0,Person 1,1456635600.0,3,0,closed,Text Mining using NLTK,closed,NLTK algorithm ,Person 4
24,labeled,1456693674.0,1454893828.0,Repo 1,4,Text mining,1456708061.0,3,1454893683.0,Person 1,1456635600.0,3,0,closed,Text Mining using NLTK,closed,Text Mining Using NLTK,Person 2
25,labeled,1455667659.0,1454893449.0,Repo 1,3,data-collection,1456708047.0,8,1454893181.0,Person 1,-1,2,0,closed,Data Collection,closed,DB configuration,Person 3
26,labeled,1455653192.0,1454893122.0,Repo 1,2,data-collection,1456708047.0,8,1454893181.0,Person 1,-1,2,0,closed,Data Collection,closed,Server For Pulling Data off StackOverflow,Person 1
27,labeled,1455666773.0,1454342666.0,Repo 1,1,proj1 feedback,None,None,None,None,None,None,None,None,None,closed,comments- no grade yet,Person 0
28,labeled,-1.0,1459981778.0,Repo 2,98,group work,-1,1,-1,Person 2,1459396800.0,19,3,open,Reaching a conclusion,open,April deliverable: Report,Person 4
29,labeled,-1.0,1456883044.0,Repo 2,95,Evaluation Plan,-1,1,-1,Person 2,1459396800.0,19,3,open,Reaching a conclusion,open,Analyzing survey outcomes,Person 2
30,labeled,1459984648.0,1456883037.0,Repo 2,96,Evaluation Plan,-1,1,-1,Person 2,1459396800.0,19,3,open,Reaching a conclusion,closed,Analyzing logs,Person 2
31,labeled,-1.0,1456883029.0,Repo 2,97,Evaluation Plan,-1,1,-1,Person 2,1459396800.0,19,3,open,Reaching a conclusion,open,Concluding,Person 2
32,labeled,-1.0,1456883015.0,Repo 2,92,Evaluation Plan,-1,2,-1,Person 2,1459396800.0,18,1,open,conducting surveys,open,conducting surveys for Solution1,Person 2
33,labeled,1459961189.0,1456883001.0,Repo 2,93,Evaluation Plan,-1,2,-1,Person 2,1459396800.0,18,1,open,conducting surveys,closed,conducting surveys for Solution2,Person 2
34,labeled,1459983073.0,1456882988.0,Repo 2,94,Evaluation Plan,-1,2,-1,Person 2,1459396800.0,18,1,open,conducting surveys,closed,conducting surveys for Solution3,Person 2
35,labeled,-1.0,1456882962.0,Repo 2,89,Evaluation Plan,-1,2,-1,Person 2,1459396800.0,17,1,open,Observing Users for solutions,open,Observing Users using Solution1,Person 2
36,labeled,1459965476.0,1456882947.0,Repo 2,90,Evaluation Plan,-1,2,-1,Person 2,1459396800.0,17,1,open,Observing Users for solutions,closed,Observing Users using Solution2,Person 2
37,labeled,1459981582.0,1456882933.0,Repo 2,91,Evaluation Plan,-1,2,-1,Person 2,1459396800.0,17,1,open,Observing Users for solutions,closed,Observing Users using Solution3,Person 2
38,labeled,1459984677.0,1456882919.0,Repo 2,85,Evaluation Plan,-1,4,-1,Person 2,1459396800.0,16,0,open,Evaluation of solutions: Creating surveys,closed,Creating survey for Solution1,Person 2
39,labeled,1459961174.0,1456882906.0,Repo 2,86,Evaluation Plan,-1,4,-1,Person 2,1459396800.0,16,0,open,Evaluation of solutions: Creating surveys,closed,Creating survey for Solution2,Person 2
40,labeled,1459965738.0,1456882881.0,Repo 2,87,Evaluation Plan,-1,4,-1,Person 2,1459396800.0,16,0,open,Evaluation of solutions: Creating surveys,closed,creating survey for Solution3,Person 2
41,labeled,1459984547.0,1456882860.0,Repo 2,88,Evaluation Plan,-1,4,-1,Person 2,1459396800.0,16,0,open,Evaluation of solutions: Creating surveys,closed,creating survey for comparing Solution1 vs Solution2 vs Solution3,Person 2
42,labeled,1456883634.0,1456878850.0,Repo 2,84,Mar1,1456886144.0,2,1456875710.0,Person 4,-1,15,0,closed,Mar1 deliverable readiness,closed,Review README,Person 2
43,labeled,1456808943.0,1456808938.0,Repo 2,82,test,1456809029.0,4,1456210731.0,Person 4,-1,14,0,closed,Solution 3: Testing Phase Iteration1,closed,Test graduation checklist functionality,Person 4
44,labeled,1456808870.0,1456808864.0,Repo 2,81,test,1456809029.0,4,1456210731.0,Person 4,-1,14,0,closed,Solution 3: Testing Phase Iteration1,closed,Test: seminar requirements,Person 4
45,labeled,1456808377.0,1456808369.0,Repo 2,80,feature,1456809027.0,6,1456207323.0,Person 4,-1,13,0,closed,Solution 3: Development Phase Iteration 1,closed,Add miscellaneou features,Person 4
46,labeled,1456808407.0,1456768315.0,Repo 2,78,test,1456809029.0,4,1456210731.0,Person 4,-1,14,0,closed,Solution 3: Testing Phase Iteration1,closed,"Test: choosing subjects, adding enrolled status,etc",Person 4
47,labeled,1456808397.0,1456768168.0,Repo 2,77,test,1456809029.0,4,1456210731.0,Person 4,-1,14,0,closed,Solution 3: Testing Phase Iteration1,closed,Test: GPA functionality,Person 4
48,labeled,1456767978.0,1456767154.0,Repo 2,76,feature,1456809027.0,6,1456207323.0,Person 4,-1,13,0,closed,Solution 3: Development Phase Iteration 1,closed,Impliment the functionality to show Maximum/taken/remaining requirements,Person 4
49,labeled,1456767988.0,1456766011.0,Repo 2,75,feature,1456809027.0,6,1456207323.0,Person 4,-1,13,0,closed,Solution 3: Development Phase Iteration 1,closed,Implimenting calc GPA ,Person 4
50,labeled,1456767926.0,1456765941.0,Repo 2,74,feature,1456809027.0,6,1456207323.0,Person 4,-1,13,0,closed,Solution 3: Development Phase Iteration 1,closed,Implimenting getting courses taken in past-grades-courses enrolled ,Person 4
51,labeled,1456767420.0,1456765826.0,Repo 2,73,feasibilty study,1456765261.0,4,1456206572.0,Person 4,-1,12,0,closed,Solution 3: Design Phase Iteration 1,closed,Deciding on how to get grades of student for this solution,Person 4
52,labeled,1456724620.0,1456724389.0,Repo 2,72,feature,1456724635.0,7,1455658003.0,Person 2,1456722000.0,10,0,closed,Solution 1 testing iteration 2,closed,Test log file,Person 2
53,labeled,1456724604.0,1456724340.0,Repo 2,71,feature,1456724635.0,7,1455658003.0,Person 2,1456722000.0,10,0,closed,Solution 1 testing iteration 2,closed,Test status activity,Person 2
54,labeled,1456724584.0,1456724287.0,Repo 2,70,feature,1456724635.0,7,1455658003.0,Person 2,1456722000.0,10,0,closed,Solution 1 testing iteration 2,closed,Test miscellaneous requirement checklist,Person 2
55,labeled,1456724557.0,1456724241.0,Repo 2,69,feature,1456724635.0,7,1455658003.0,Person 2,1456722000.0,10,0,closed,Solution 1 testing iteration 2,closed,Test seminar activity,Person 2
56,labeled,1456724534.0,1456724198.0,Repo 2,68,feature,1456724635.0,7,1455658003.0,Person 2,1456722000.0,10,0,closed,Solution 1 testing iteration 2,closed,Test Courses activity,Person 2
57,labeled,1456724514.0,1456724162.0,Repo 2,67,feature,1456724635.0,7,1455658003.0,Person 2,1456722000.0,10,0,closed,Solution 1 testing iteration 2,closed,Test degree activity,Person 2
58,labeled,1456724496.0,1456724083.0,Repo 2,66,feature,1456724635.0,7,1455658003.0,Person 2,1456722000.0,10,0,closed,Solution 1 testing iteration 2,closed,Test my acc activity,Person 2
59,labeled,1456723892.0,1456692300.0,Repo 2,65,feature,1456723933.0,9,1455657891.0,Person 2,1456722000.0,8,0,closed,Solution 1 development iteration 2,closed,implement logging,Person 2
60,labeled,1456699196.0,1456692272.0,Repo 2,64,feature,1456723933.0,9,1455657891.0,Person 2,1456722000.0,8,0,closed,Solution 1 development iteration 2,closed,Implement status activity,Person 2
61,labeled,1456692321.0,1456686587.0,Repo 2,62,feature,1456723933.0,9,1455657891.0,Person 2,1456722000.0,8,0,closed,Solution 1 development iteration 2,closed,implement semester activity ,Person 2
62,labeled,1456663575.0,1456657233.0,Repo 2,61,feature,1456723933.0,9,1455657891.0,Person 2,1456722000.0,8,0,closed,Solution 1 development iteration 2,closed,Implement view seminar activity,Person 2
63,labeled,1456657176.0,1456653822.0,Repo 2,60,feature,1456723933.0,9,1455657891.0,Person 2,1456722000.0,8,0,closed,Solution 1 development iteration 2,closed,Implement seminar activity,Person 2
64,labeled,1456642753.0,1456636083.0,Repo 2,59,feature,1456723933.0,9,1455657891.0,Person 2,1456722000.0,8,0,closed,Solution 1 development iteration 2,closed,Implement degree activity in grad app lite,Person 2
65,labeled,1456686612.0,1456635427.0,Repo 2,58,feature,1456723933.0,9,1455657891.0,Person 2,1456722000.0,8,0,closed,Solution 1 development iteration 2,closed,implement miscellaneous requirement in Grad App lite,Person 2
66,labeled,1456635768.0,1456627697.0,Repo 2,57,feature,1456723933.0,9,1455657891.0,Person 2,1456722000.0,8,0,closed,Solution 1 development iteration 2,closed,implement my acc activity,Person 2
67,labeled,1456627715.0,1456624874.0,Repo 2,56,feature,1456723933.0,9,1455657891.0,Person 2,1456722000.0,8,0,closed,Solution 1 development iteration 2,closed,Create main activity,Person 2
68,labeled,1456767503.0,1456379963.0,Repo 2,55,feature,1456809027.0,6,1456207323.0,Person 4,-1,13,0,closed,Solution 3: Development Phase Iteration 1,closed,Implimenting boxed TD,Person 4
69,labeled,1456304782.0,1456304774.0,Repo 2,54,Mar1,-1,3,-1,Person 3,-1,11,0,open,Solution 2 Testing Iteration,closed,Solution2,Person 1
70,labeled,1456834416.0,1456237283.0,Repo 2,49,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Database for MS in CN,Person 1
71,labeled,1456834416.0,1456237283.0,Repo 2,49,feature,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Database for MS in CN,Person 1
72,labeled,1456834424.0,1456237133.0,Repo 2,48,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Database for MCS - Data Science ,Person 1
73,labeled,1456834424.0,1456237133.0,Repo 2,48,feature,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Database for MCS - Data Science ,Person 1
74,labeled,1456882840.0,1456236843.0,Repo 2,47,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Database for MCS - Software Engineering track,Person 1
75,labeled,1456882840.0,1456236843.0,Repo 2,47,feature,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Database for MCS - Software Engineering track,Person 1
76,labeled,1456252335.0,1456236784.0,Repo 2,46,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Database for Master of Science track,Person 1
77,labeled,1456252335.0,1456236784.0,Repo 2,46,feature,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Database for Master of Science track,Person 1
78,labeled,1456379840.0,1456210698.0,Repo 2,45,feature,1456809027.0,6,1456207323.0,Person 4,-1,13,0,closed,Solution 3: Development Phase Iteration 1,closed,Create basic structure,Person 4
79,labeled,1456764720.0,1456206850.0,Repo 2,44,Feature,1456765261.0,4,1456206572.0,Person 4,-1,12,0,closed,Solution 3: Design Phase Iteration 1,closed,Finalizing design for iteration 1,Person 4
80,labeled,1456378588.0,1456206800.0,Repo 2,43,Feature,1456765261.0,4,1456206572.0,Person 4,-1,12,0,closed,Solution 3: Design Phase Iteration 1,closed,Building paper prototype,Person 4
81,labeled,1456378900.0,1456206696.0,Repo 2,42,Feature,1456765261.0,4,1456206572.0,Person 4,-1,12,0,closed,Solution 3: Design Phase Iteration 1,closed,Enlist features required,Person 4
82,labeled,1459961139.0,1456165184.0,Repo 2,41,Mar1,-1,3,-1,Person 3,-1,11,0,open,Solution 2 Testing Iteration,closed,Deploy and Test the application on different platform,Person 3
83,labeled,1459961139.0,1456165184.0,Repo 2,41,enhancement,-1,3,-1,Person 3,-1,11,0,open,Solution 2 Testing Iteration,closed,Deploy and Test the application on different platform,Person 3
84,labeled,1456689110.0,1456165125.0,Repo 2,40,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Implement GenerateReport class for fetching results,Person 3
85,labeled,1456689110.0,1456165125.0,Repo 2,40,Feature,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Implement GenerateReport class for fetching results,Person 3
86,labeled,1456611983.0,1456165000.0,Repo 2,39,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Implement general UI Widgets that can be used across web pages in project.,Person 3
87,labeled,1456611983.0,1456165000.0,Repo 2,39,enhancement,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Implement general UI Widgets that can be used across web pages in project.,Person 3
88,labeled,1456612022.0,1456164917.0,Repo 2,38,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Implement SignUp and Log out module for Solution 2,Person 3
89,labeled,1456612022.0,1456164917.0,Repo 2,38,Feature,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Implement SignUp and Log out module for Solution 2,Person 3
90,labeled,1456612138.0,1456164859.0,Repo 2,37,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Place grid and navigation menu bar in main page,Person 3
91,labeled,1456612138.0,1456164859.0,Repo 2,37,Feature,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Place grid and navigation menu bar in main page,Person 3
92,labeled,1456612158.0,1456164793.0,Repo 2,36,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Create and apply css for web pages,Person 3
93,labeled,1456612158.0,1456164793.0,Repo 2,36,enhancement,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Create and apply css for web pages,Person 3
94,labeled,1456303997.0,1456163052.0,Repo 2,33,Mar1,-1,3,-1,Person 3,-1,11,0,open,Solution 2 Testing Iteration,closed,Database Helper Class,Person 3
95,labeled,1456303997.0,1456163052.0,Repo 2,33,Feature,-1,3,-1,Person 3,-1,11,0,open,Solution 2 Testing Iteration,closed,Database Helper Class,Person 3
96,labeled,1456164573.0,1455987312.0,Repo 2,32,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Integrate DB code with UI and Log-in module.,Person 3
97,labeled,1456164573.0,1455987312.0,Repo 2,32,Feature,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Integrate DB code with UI and Log-in module.,Person 3
98,labeled,1456164514.0,1455987268.0,Repo 2,31,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Implement Log-in module for Solution two.,Person 3
